name,config,value at step 100,value at step 200,value at step 300,value at step 400,value at step 500,value at step 600,value at step 700,value at step 800,value at step 900,value at step 1000,value at step 1100,value at step 1200,value at step 1300,value at step 1400,value at step 1500,value at step 1600,value at step 1700,value at step 1800,value at step 1900,value at step 2000,value at step 2100,value at step 2200,value at step 2300,value at step 2400,value at step 2500,value at step 2600,value at step 2700,value at step 2800,value at step 2900,value at step 3000
Elephant_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.2339073407474643e-07,1.2339073407474643e-07,1.2410089311742922e-07,1.2410089311742922e-07,1.453225451086837e-07,2.2597052407036244e-07,9.458384511162876e-07,1.488208454247797e-06,3.728349838638678e-06,4.8235588110401295e-06,5.777304068033118e-06,6.732686415489297e-06,7.678157089685556e-06,8.651642019685823e-06,9.500682608631905e-06,1.0141659004148096e-05,1.063614763552323e-05,1.0994511285389308e-05,1.1288161658740137e-05,1.1510434887895826e-05,1.1686601283145137e-05,1.1594214811339043e-05,1.1664657904475462e-05,1.1679177077894565e-05
Elephant_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.2179006603219023e-07,1.2179006603219023e-07,1.223115759785287e-07,1.223115759785287e-07,1.4360975342242455e-07,2.22425342144561e-07,9.166927270598535e-07,1.4692438981001033e-06,3.65473670171923e-06,4.678295226767659e-06,5.6344638323935214e-06,6.505339115392417e-06,7.490890311601106e-06,8.372217962460127e-06,9.175862032861914e-06,9.779648280527908e-06,1.027717735269107e-05,1.0647037925082259e-05,1.0927027688012458e-05,1.1147186341986526e-05,1.1313282811897807e-05,1.1284137144684792e-05,1.1348500265739858e-05,1.1355626156728249e-05
Fountain_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,3.1300234695663676e-05,3.1300234695663676e-05,3.1815292459214106e-05,3.1815292459214106e-05,3.285741695435718e-05,3.285114871687256e-05,3.506453140289523e-05,3.542775084497407e-05,4.0116974560078233e-05,4.105723201064393e-05,4.2007122829090804e-05,4.2903655412374064e-05,4.392954724607989e-05,4.4982640247326344e-05,4.586663635564037e-05,4.6617791667813435e-05,4.711427027359605e-05,4.746668855659664e-05,4.772289685206488e-05,4.792987965629436e-05,4.8059053369797766e-05,4.814533531316556e-05,4.818516026716679e-05,4.819800960831344e-05
Fountain_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,3.096373984590173e-05,3.096373984590173e-05,3.1642455724067986e-05,3.1642455724067986e-05,3.274747359682806e-05,3.273371112300083e-05,3.487658977974206e-05,3.515467687975615e-05,3.9601451135240495e-05,4.047459515277296e-05,4.125621489947662e-05,4.2138977732975036e-05,4.319260915508494e-05,4.4145610445411876e-05,4.5063323341310024e-05,4.5685319491894916e-05,4.618015736923553e-05,4.654258009395562e-05,4.67929094156716e-05,4.697008989751339e-05,4.709984932560474e-05,4.715951217804104e-05,4.7195993829518557e-05,4.720755168818869e-05
House_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.5787632946739905e-05,1.5787632946739905e-05,1.6643414710415527e-05,1.6643414710415527e-05,1.7172860680148005e-05,1.720002546790056e-05,1.812259688449558e-05,1.8416738384985365e-05,2.029139614023734e-05,2.084274819935672e-05,2.1361214749049395e-05,2.1885571186430752e-05,2.243790186184924e-05,2.297843457199633e-05,2.3422900994773954e-05,2.3808121113688685e-05,2.4129911253112368e-05,2.435860369587317e-05,2.452589433232788e-05,2.464745193719864e-05,2.4729644792387262e-05,2.4043383746175095e-05,2.4080714865704067e-05,2.3986138330656104e-05
House_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,1.5494541003135964e-05,1.5494541003135964e-05,1.6285563106066547e-05,1.6285563106066547e-05,1.673750375630334e-05,1.6766305634519085e-05,1.7718728486215696e-05,1.7980322809307836e-05,1.9575507394620217e-05,2.0083134586457163e-05,2.0570070773828775e-05,2.109225169988349e-05,2.1562747861025855e-05,2.211345054092817e-05,2.2579535652766936e-05,2.2901174816070125e-05,2.314634002686944e-05,2.3311018594540656e-05,2.3444579710485414e-05,2.3543965653516352e-05,2.361428960284684e-05,2.312713877472561e-05,2.3150472770794295e-05,2.306713031430263e-05
SalingBoat_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,9.68067297435482e-07,9.68067297435482e-07,9.70843530012644e-07,9.70843530012644e-07,1.0147164175577927e-06,1.0793670526254573e-06,1.6184816331588081e-06,1.912470906972885e-06,3.3995315789070446e-06,3.991937774117105e-06,4.548817742033862e-06,5.18140041094739e-06,5.786921519757016e-06,6.377393674483756e-06,6.861841939098667e-06,7.240204922709381e-06,7.561134225397836e-06,7.774812729621772e-06,7.94983407104155e-06,8.093651558738202e-06,8.17773980088532e-06,8.010259989532642e-06,8.049821190070361e-06,8.040220563998446e-06
SalingBoat_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,9.842048029895523e-07,9.842048029895523e-07,9.88338570095948e-07,9.88338570095948e-07,1.0294324965798296e-06,1.0906333045568317e-06,1.6222969634327455e-06,1.921672946991748e-06,3.410714498386369e-06,3.9994365579332225e-06,4.515322416409617e-06,5.040137693868019e-06,5.568994311033748e-06,6.08171876592678e-06,6.550063972099451e-06,6.884997674205806e-06,7.134005500120111e-06,7.343724064412527e-06,7.502509106416255e-06,7.610350166942226e-06,7.693901352467947e-06,7.544835170847364e-06,7.580326837342e-06,7.576457392133307e-06
Sniper_100000_colored_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5658981666888394e-08,6.462984458721621e-08,4.1357282043463783e-07,6.501398388536472e-07,1.5812096307854517e-06,1.9503995645209216e-06,2.287643610543455e-06,2.6339537271269364e-06,2.9153061404940672e-06,3.2026546250563115e-06,3.534985353326192e-06,3.732956429303158e-06,3.902533990185475e-06,4.024711415695492e-06,4.116921900276793e-06,4.180586074653547e-06,4.229779278830392e-06,4.129619355808245e-06,4.149302185396664e-06,4.14659143643803e-06
Sniper_100000_pointcloud,LR_Basic_Chamfer_Prune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4117292224113953e-08,6.085515735776426e-08,4.055519298162835e-07,6.081249352973828e-07,1.5259519159371848e-06,1.8951132005895488e-06,2.1921414372627623e-06,2.4723278784222202e-06,2.759302105914685e-06,3.033944722119486e-06,3.2957084385998314e-06,3.4716549635049887e-06,3.612183718360029e-06,3.7260085719026392e-06,3.8020114061509958e-06,3.858759100694442e-06,3.896680482284864e-06,3.7791887734783813e-06,3.7954255276417825e-06,3.789838729062467e-06
