name,config,value at step 100,value at step 200,value at step 300,value at step 400,value at step 500,value at step 600,value at step 700,value at step 800,value at step 900,value at step 1000,value at step 1100,value at step 1200,value at step 1300,value at step 1400,value at step 1500,value at step 1600,value at step 1700,value at step 1800,value at step 1900,value at step 2000,value at step 2100,value at step 2200,value at step 2300,value at step 2400,value at step 2500,value at step 2600,value at step 2700,value at step 2800,value at step 2900,value at step 3000
Waly_100000_pointcloud,Basic,1.7239974567928584e-06,3.482753754724399e-06,5.236865945335012e-06,6.877743544464465e-06,2.839218359440565e-05,3.2857031328603625e-05,3.768545502680354e-05,4.4016094761900604e-05,5.046782462159172e-05,5.173477984499186e-05,5.2545146900229156e-05,5.317241812008433e-05,5.382207746151835e-05,5.4356103646568954e-05,5.476297519635409e-05,5.516789678949863e-05,5.553393566515297e-05,5.588920976151712e-05,5.626557322102599e-05,5.6668694014661014e-05,5.703592978534289e-05,5.7370099966647103e-05,5.7667661167215556e-05,5.800678991363384e-05,5.8298392104916275e-05,5.861526733497158e-05,5.8871315559372306e-05,5.913347195019014e-05,5.944974327576347e-05,5.973151928628795e-05
Bicycle_100000_colored_pointcloud,Basic_Chamfer,1.6381972045564908e-06,3.1135391509451438e-06,4.405894287629053e-06,5.572738700720947e-06,8.786088073975407e-06,1.0991005183313973e-05,1.38029226945946e-05,1.6976373444776982e-05,2.0567706087604165e-05,2.4221984858741052e-05,2.8158028726466e-05,3.206991823390126e-05,3.3060176065191627e-05,3.379462941666134e-05,3.4415017580613494e-05,3.5063520044786856e-05,3.555518196662888e-05,3.606200698413886e-05,3.660907532321289e-05,3.702937829075381e-05,3.7385456380434334e-05,3.786165689234622e-05,3.8248377677518874e-05,3.847254265565425e-05,3.8864884118083864e-05,3.923591793864034e-05,3.967587326769717e-05,3.997706153313629e-05,4.0363662265008315e-05,4.0623614040669054e-05
Bicycle_100000_pointcloud,Basic_Chamfer,1.7333655932816328e-06,3.392600774532184e-06,4.791613719135057e-06,5.997245807520812e-06,9.164022230834235e-06,1.1392683518351987e-05,1.4103413377597462e-05,1.727836024656426e-05,2.0579698684741743e-05,2.4184657377190888e-05,2.7772077373811044e-05,3.150189877487719e-05,3.233936513424851e-05,3.2998006645357236e-05,3.347324309288524e-05,3.396983083803207e-05,3.440857835812494e-05,3.4793014492606744e-05,3.5280976590001956e-05,3.559802280506119e-05,3.592419670894742e-05,3.629408820415847e-05,3.656128319562413e-05,3.6835444916505367e-05,3.7162782973609865e-05,3.7462286854861304e-05,3.7794823583681136e-05,3.8053985917940736e-05,3.8311110984068364e-05,3.853028465528041e-05
Cat_100000_colored_pointcloud,Basic_Chamfer,1.4019942682352848e-06,2.8002991712128278e-06,4.076432560395915e-06,5.558821612794418e-06,9.925832273438573e-06,1.3189363016863354e-05,1.776234967110213e-05,2.3133718059398234e-05,2.870004391297698e-05,3.477458449197002e-05,4.130979868932627e-05,4.809609163203277e-05,4.955861368216574e-05,5.0608978199306875e-05,5.1372066081967205e-05,5.209552182350308e-05,5.266799416858703e-05,5.329796113073826e-05,5.3849726100452244e-05,5.438159860204905e-05,5.4851370805408806e-05,5.5378801334882155e-05,5.5820168199716136e-05,5.619779403787106e-05,5.6680462876101956e-05,5.7086617744062096e-05,5.747036630054936e-05,5.788750422652811e-05,5.831958696944639e-05,5.868060907232575e-05
Cat_100000_pointcloud,Basic_Chamfer,1.6163230611709878e-06,3.3513724702061154e-06,4.8066603994811885e-06,6.551955266331788e-06,1.080145375453867e-05,1.3928243788541295e-05,1.829072061809711e-05,2.318032056791708e-05,2.878258965210989e-05,3.4247746953042224e-05,3.9881317206891254e-05,4.5907567255198956e-05,4.716069815913215e-05,4.814966086996719e-05,4.886705937678926e-05,4.958883801009506e-05,5.0129481678595766e-05,5.065312871010974e-05,5.1151142542948946e-05,5.159036663826555e-05,5.195062840357423e-05,5.2436720579862595e-05,5.280252662487328e-05,5.3102376114111394e-05,5.348932245397009e-05,5.385187978390604e-05,5.4248237574938685e-05,5.453598714666441e-05,5.484983921633102e-05,5.5094107665354386e-05
Chair3Legs_100000_colored_pointcloud,Basic_Chamfer,1.4348540844366653e-06,2.7538292215467663e-06,3.7154682104301173e-06,4.614536919689272e-06,1.661902933847159e-05,1.9650376998470165e-05,2.3270280507858843e-05,2.765088174783159e-05,3.2589337934041396e-05,3.755400393856689e-05,4.2472569475648925e-05,4.782393079949543e-05,4.889351475867443e-05,4.957937926519662e-05,5.0119200750486925e-05,5.075727676739916e-05,5.113936640555039e-05,5.168751158635132e-05,5.209160008234903e-05,5.247359877103008e-05,5.2816729294136167e-05,5.31078694621101e-05,5.343737211660482e-05,5.367578341974877e-05,5.4056472436059266e-05,5.431397948996164e-05,5.465283174999058e-05,5.486876762006432e-05,5.5158241593744606e-05,5.5376251111738384e-05
Chair3Legs_100000_pointcloud,Basic_Chamfer,1.545158056615037e-06,2.8910114906466333e-06,4.053148586535826e-06,5.061898264102638e-06,1.6734325981815346e-05,1.9595096091507003e-05,2.3177075490821153e-05,2.7146041247760877e-05,3.151435885229148e-05,3.602698416216299e-05,4.051665018778294e-05,4.509054633672349e-05,4.596541839418933e-05,4.659501792048104e-05,4.7103039833018556e-05,4.754161273012869e-05,4.786345380125567e-05,4.8219582822639495e-05,4.863961294176988e-05,4.895538222626783e-05,4.92762919748202e-05,4.9619891797192395e-05,4.9960312026087195e-05,5.0203110731672496e-05,5.057536327512935e-05,5.0852566346293315e-05,5.113232327857986e-05,5.141860310686752e-05,5.169266660232097e-05,5.192244134377688e-05
Chair_100000_colored_pointcloud,Basic_Chamfer,1.4880104117764859e-06,2.741355274338275e-06,3.8049224713176955e-06,4.848877324548084e-06,1.708743911876809e-05,2.0099159883102402e-05,2.3815200620447285e-05,2.8361442673485726e-05,3.322945849504322e-05,3.8225985917961225e-05,4.3364736484363675e-05,4.870652628596872e-05,4.9580849008634686e-05,5.021038668928668e-05,5.0631308113224804e-05,5.111929931445047e-05,5.1490002078935504e-05,5.188476643525064e-05,5.2252762543503195e-05,5.2521369070746005e-05,5.279180913930759e-05,5.3052277507958934e-05,5.3314928663894534e-05,5.35483231942635e-05,5.383531970437616e-05,5.4045129218138754e-05,5.4286112572299317e-05,5.450829485198483e-05,5.47563104191795e-05,5.4923511925153434e-05
Chair_100000_pointcloud,Basic_Chamfer,1.6183000752789667e-06,2.9273642212501727e-06,4.073453965247609e-06,5.0419048420735635e-06,1.6832444089232013e-05,1.9651881302706897e-05,2.3235630578710698e-05,2.7528300051926635e-05,3.216338518541306e-05,3.710545934154652e-05,4.1831131966318935e-05,4.717946649179794e-05,4.814583371626213e-05,4.867300594924018e-05,4.9250913434661925e-05,4.9737012886907905e-05,5.0056769396178424e-05,5.0446160457795486e-05,5.0830651161959395e-05,5.106874232296832e-05,5.135778337717056e-05,5.1694623834919184e-05,5.1985407480970025e-05,5.2209994464647025e-05,5.257336306385696e-05,5.2843832236249e-05,5.310069172992371e-05,5.3355193813331425e-05,5.363707532524131e-05,5.391393642639741e-05
DragonOnWall_100000_colored_pointcloud,Basic_Chamfer,1.6100157154141925e-06,3.2068830932985293e-06,4.751111191581003e-06,6.07788661000086e-06,1.967075513675809e-05,2.1949368601781316e-05,2.537948967074044e-05,3.0100887670414522e-05,3.5718956496566534e-05,4.171602631686255e-05,4.764371260534972e-05,5.425059134722687e-05,5.515387238119729e-05,5.568812048295513e-05,5.608877108898014e-05,5.654805136146024e-05,5.6894368754001334e-05,5.731604323955253e-05,5.769967901869677e-05,5.799142672913149e-05,5.8310226449975744e-05,5.863250044058077e-05,5.887038423679769e-05,5.906916339881718e-05,5.933419379289262e-05,5.9592610341496766e-05,5.9856312873307616e-05,6.004439637763426e-05,6.026407572790049e-05,6.04644046688918e-05
DragonOnWall_100000_pointcloud,Basic_Chamfer,1.537042294330604e-06,2.974498329422204e-06,4.1416933527216315e-06,5.331011379894335e-06,1.804513522074558e-05,2.0078503439435735e-05,2.3108494133339263e-05,2.7194379072170705e-05,3.1930303521221504e-05,3.726482827914879e-05,4.3084372009616345e-05,4.969711881130934e-05,5.059408431407064e-05,5.1262722990941256e-05,5.182276072446257e-05,5.226820212556049e-05,5.26652074768208e-05,5.3026531531941146e-05,5.340650386642665e-05,5.371485895011574e-05,5.400069130701013e-05,5.428734584711492e-05,5.457989755086601e-05,5.483541826833971e-05,5.512686038855463e-05,5.5368956964230165e-05,5.562973456108011e-05,5.5883276218082756e-05,5.6168220908148214e-05,5.6416836741846055e-05
Elephant_100000_colored_pointcloud,Basic_Chamfer,1.6156799347299966e-06,2.9808611543558072e-06,4.396919393911958e-06,5.592302841250785e-06,8.625507689430378e-06,1.1287500456091948e-05,1.4914383427822031e-05,1.885723031591624e-05,2.3039196094032377e-05,2.7523212338564917e-05,3.206341352779418e-05,3.718735388247296e-05,3.831505455309525e-05,3.916446439689025e-05,3.98428674088791e-05,4.052787335240282e-05,4.1034694731933996e-05,4.1597901144996285e-05,4.223576979711652e-05,4.2672189010772854e-05,4.311739030526951e-05,4.358659862191416e-05,4.4036121835233644e-05,4.4415319280233234e-05,4.488918057177216e-05,4.530027217697352e-05,4.5743210648652166e-05,4.611379699781537e-05,4.645852095563896e-05,4.681277277995832e-05
Elephant_100000_pointcloud,Basic_Chamfer,1.683689561104984e-06,3.145765731460415e-06,4.403286311571719e-06,5.574875103775412e-06,8.400038495892659e-06,1.0960137842630502e-05,1.444534609618131e-05,1.840184813772794e-05,2.259563007100951e-05,2.7133444746141322e-05,3.134815051453188e-05,3.618938717409037e-05,3.7303983845049515e-05,3.807472239714116e-05,3.86887913919054e-05,3.927994112018496e-05,3.9753700548317283e-05,4.0233906474895775e-05,4.070840805070475e-05,4.110536247026175e-05,4.150240056333132e-05,4.195826477371156e-05,4.2314481106586754e-05,4.260207060724497e-05,4.3043481127824634e-05,4.334439290687442e-05,4.369351881905459e-05,4.405633808346465e-05,4.434886068338528e-05,4.4617165258387104e-05
