name,config,value at step 100,value at step 200,value at step 300,value at step 400,value at step 500,value at step 600,value at step 700,value at step 800,value at step 900,value at step 1000,value at step 1100,value at step 1200,value at step 1300,value at step 1400,value at step 1500,value at step 1600,value at step 1700,value at step 1800,value at step 1900,value at step 2000,value at step 2100,value at step 2200,value at step 2300,value at step 2400,value at step 2500,value at step 2600,value at step 2700,value at step 2800,value at step 2900,value at step 3000
SalingBoat_100000_colored_pointcloud,Mask_pen_Prune,1.405124066877761e-06,2.564156602602452e-06,3.645131982921157e-06,4.638966402126243e-06,7.658274626010098e-06,9.376775778946467e-06,1.184609664051095e-05,1.4791579815209843e-05,1.802797123673372e-05,1.885407073132228e-05,1.934695137606468e-05,1.975790291908197e-05,2.0117027816013433e-05,2.0428822608664632e-05,2.0747760572703555e-05,2.1066938643343747e-05,2.1340572857297957e-05,2.1562369511229917e-05,2.1826112060807645e-05,2.205149212386459e-05,2.2227772205951624e-05,2.2440470274887048e-05,2.2664127754978836e-05,2.286977178300731e-05,2.303331348230131e-05,2.3245442207553424e-05,2.3445472834282555e-05,2.271193625347223e-05,2.3045571651891805e-05,2.3061376850819215e-05
SalingBoat_100000_pointcloud,Mask_pen_Prune,1.3805454273096984e-06,2.4682958610355854e-06,3.5061925700574648e-06,4.444983005669201e-06,7.442858077411074e-06,9.075255547941197e-06,1.1355626156728249e-05,1.4263061530073173e-05,1.7260770619031973e-05,1.8008053302764893e-05,1.8540624296292663e-05,1.896067442430649e-05,1.934816646098625e-05,1.963108661584556e-05,1.995929778786376e-05,2.02554674615385e-05,2.0510111426119693e-05,2.071890776278451e-05,2.0909747036057524e-05,2.1144584025023505e-05,2.1341187675716355e-05,2.154837056878023e-05,2.172940003219992e-05,2.1930936782155186e-05,2.213165680586826e-05,2.2293959773378447e-05,2.2499307306134142e-05,2.1690573703381233e-05,2.1975172785460018e-05,2.1941816157777794e-05
Sniper_100000_colored_pointcloud,Mask_pen_Prune,1.162528292297793e-06,2.095130184898153e-06,2.9949555937491823e-06,3.6925484891980886e-06,4.889264801022364e-06,5.933022293902468e-06,7.376134817604907e-06,9.26085158425849e-06,1.1282059858785942e-05,1.1693222404574044e-05,1.1950642146985047e-05,1.2179979421489406e-05,1.2356717888906132e-05,1.2533499102573842e-05,1.2710778719338123e-05,1.2874595086032059e-05,1.3046777894487604e-05,1.3190370736992918e-05,1.3341757039597724e-05,1.3505702554539312e-05,1.3595552445622161e-05,1.3786828276352026e-05,1.3909818335378077e-05,1.4044076124264393e-05,1.4180483049130999e-05,1.4291143088485114e-05,1.4419355466088746e-05,1.352024992229417e-05,1.3724373275181279e-05,1.3651832887262572e-05
Sniper_100000_pointcloud,Mask_pen_Prune,1.0498100664335652e-06,1.9316773887112504e-06,2.718241830734769e-06,3.460538664512569e-06,4.6766517698415555e-06,5.74910609429935e-06,7.160218501667259e-06,9.029346983879805e-06,1.1178750355611555e-05,1.1470811841718387e-05,1.1706512850651052e-05,1.1922489647986367e-05,1.206167053169338e-05,1.2182677892269567e-05,1.2308376426517498e-05,1.2420130587997846e-05,1.2521818462118972e-05,1.2632640391530003e-05,1.2729335139738396e-05,1.2847727703046985e-05,1.296349182666745e-05,1.3076418326818384e-05,1.3183099326852243e-05,1.3284256056067534e-05,1.3394782399700489e-05,1.3500957720680162e-05,1.3605631465907209e-05,1.2661787877732422e-05,1.2938480722368695e-05,1.2807582606910728e-05
Sofa_100000_colored_pointcloud,Mask_pen_Prune,1.6332157883880427e-06,3.0447163226199336e-06,4.479283234104514e-06,5.822457751492038e-06,2.2208314476301894e-05,2.575826511019841e-05,2.9189437555032782e-05,3.376293898327276e-05,3.8316888094414026e-05,3.930782986572012e-05,3.997512612841092e-05,4.055016324855387e-05,4.100456499145366e-05,4.138101212447509e-05,4.177862865617499e-05,4.2116051190532744e-05,4.239457121002488e-05,4.268720658728853e-05,4.294298560125753e-05,4.3172698497073725e-05,4.341455132816918e-05,4.3592350266408175e-05,4.384449130157009e-05,4.4065840484108776e-05,4.426416853675619e-05,4.449485277291387e-05,4.469633859116584e-05,4.4261068978812546e-05,4.450888081919402e-05,4.45814584963955e-05
Sofa_100000_pointcloud,Mask_pen_Prune,1.6574609844610677e-06,3.140267608614522e-06,4.590203843690688e-06,5.860549208591692e-06,2.2235339201870374e-05,2.5923405701178126e-05,2.9508722946047783e-05,3.370099511812441e-05,3.8109126762719825e-05,3.910853047273122e-05,3.9763232052791864e-05,4.029119372717105e-05,4.076135155628435e-05,4.1245686588808894e-05,4.162544428254478e-05,4.194244320387952e-05,4.225403245072812e-05,4.255233579897322e-05,4.2900188418570906e-05,4.3150270357728004e-05,4.3407406337792054e-05,4.368144800537266e-05,4.3934109271503985e-05,4.421987978275865e-05,4.4444925151765347e-05,4.4685188186122105e-05,4.487512705964036e-05,4.460306081455201e-05,4.4951204472454265e-05,4.504918979364447e-05
SpaceShipMaybe_100000_colored_pointcloud,Mask_pen_Prune,1.5707141756138299e-06,2.9329894459806383e-06,4.225569682603236e-06,5.38182575837709e-06,1.3865885193808936e-05,1.6723915905458853e-05,2.0502273400779814e-05,2.5228391677956097e-05,3.012697197846137e-05,3.127627496724017e-05,3.2073981856228784e-05,3.263490361860022e-05,3.317586742923595e-05,3.3622218325035647e-05,3.404141898499802e-05,3.443694731686264e-05,3.480955638224259e-05,3.515605931170285e-05,3.546648804331198e-05,3.579254189389758e-05,3.606578320614062e-05,3.631943400250748e-05,3.658220521174371e-05,3.681626549223438e-05,3.709832890308462e-05,3.736738653969951e-05,3.758718594326638e-05,3.764573557418771e-05,3.792422648984939e-05,3.802579885814339e-05
SpaceShipMaybe_100000_pointcloud,Mask_pen_Prune,1.5661514680687105e-06,2.9973032269481337e-06,4.384268777357647e-06,5.682830305886455e-06,1.4134138837107457e-05,1.6943091395660304e-05,2.0704999769805e-05,2.539996785344556e-05,3.0167404474923387e-05,3.128973548882641e-05,3.199384445906617e-05,3.260654557379894e-05,3.3072687074309215e-05,3.353603824507445e-05,3.395802923478186e-05,3.433218807913363e-05,3.466995258349925e-05,3.5016873880522326e-05,3.532127811922692e-05,3.5601657145889476e-05,3.589786138036288e-05,3.618361733970232e-05,3.647479388746433e-05,3.674792606034316e-05,3.6994861147832125e-05,3.7264893762767315e-05,3.749909228645265e-05,3.743172419490293e-05,3.7771507777506486e-05,3.797309545916505e-05
Tree_100000_colored_pointcloud,Mask_pen_Prune,1.8513409258957836e-06,3.689015102281701e-06,5.4427810027846135e-06,7.042448032734683e-06,1.2081602108082734e-05,1.454735865991097e-05,1.8297410861123353e-05,2.2859316231915727e-05,2.759443668765016e-05,2.8852122341049835e-05,2.9704220651183277e-05,3.0415809305850416e-05,3.1033479899633676e-05,3.163500878144987e-05,3.214503522031009e-05,3.267462307121605e-05,3.3130192605312914e-05,3.3545053156558424e-05,3.397614273126237e-05,3.438798012211919e-05,3.480985469650477e-05,3.520269820000976e-05,3.554346403689124e-05,3.5912533348891884e-05,3.6219451430952176e-05,3.653427120298147e-05,3.689498407766223e-05,3.690788071253337e-05,3.732898403541185e-05,3.7545432860497385e-05
Tree_100000_pointcloud,Mask_pen_Prune,1.9418093870626763e-06,3.9522219594800845e-06,5.950864760961849e-06,7.619861207786016e-06,1.3173733350413386e-05,1.5645267922081985e-05,1.9370570953469723e-05,2.401900383119937e-05,2.8658869268838316e-05,2.9850081773474813e-05,3.0679337214678526e-05,3.133517748210579e-05,3.1938358006300405e-05,3.247209679102525e-05,3.291866960353218e-05,3.337199450470507e-05,3.379368354217149e-05,3.422996087465435e-05,3.463200118858367e-05,3.503976404317655e-05,3.5440480132820085e-05,3.579139229259454e-05,3.615452442318201e-05,3.652211307780817e-05,3.689411096274853e-05,3.722272231243551e-05,3.7548234104178846e-05,3.750934774870984e-05,3.7864010664634407e-05,3.805395317613147e-05
Truck_100000_colored_pointcloud,Mask_pen_Prune,1.6650344605295686e-06,3.1346312425739598e-06,4.46436843049014e-06,5.675926331605297e-06,9.902905730996281e-06,1.1857687240990344e-05,1.4443053260038141e-05,1.7859467334346846e-05,2.1217696485109627e-05,2.2110658392193727e-05,2.2719437765772454e-05,2.3146349121816456e-05,2.356933691771701e-05,2.3911785319796763e-05,2.422275792923756e-05,2.450509782647714e-05,2.4773533368716016e-05,2.5051849661394954e-05,2.5318999178125523e-05,2.5559156711096875e-05,2.5810433726292104e-05,2.603433131298516e-05,2.6257475838065147e-05,2.649114867381286e-05,2.670023968676105e-05,2.6900050215772353e-05,2.710507033043541e-05,2.7159869205206633e-05,2.7416253942647018e-05,2.758497794275172e-05
Truck_100000_pointcloud,Mask_pen_Prune,1.68291285262967e-06,3.2774228202470113e-06,4.706179424829315e-06,6.05423792876536e-06,1.036763842421351e-05,1.2249874998815358e-05,1.4791221474297345e-05,1.773184703779407e-05,2.0823656086577103e-05,2.1555981220444664e-05,2.206117642344907e-05,2.2469972464023158e-05,2.2799940779805183e-05,2.312365177203901e-05,2.3387412511510774e-05,2.3653999960515648e-05,2.3872664314694703e-05,2.4090264560072683e-05,2.4322962417500094e-05,2.4540393496863544e-05,2.473465065122582e-05,2.4960769223980606e-05,2.5145060135400854e-05,2.5359664505231194e-05,2.5552009901730344e-05,2.574494828877505e-05,2.5947403628379107e-05,2.5798923161346465e-05,2.603697794256732e-05,2.615093399072066e-05
Waly_100000_colored_pointcloud,Mask_pen_Prune,1.8367500160820782e-06,3.6395467759575695e-06,5.345432782632997e-06,6.941147603356512e-06,3.0607436201535165e-05,3.5867200494976714e-05,4.131798050366342e-05,4.805143180419691e-05,5.512742791324854e-05,5.640671224682592e-05,5.72489298065193e-05,5.789771967101842e-05,5.8454515965422615e-05,5.897764640394598e-05,5.9426052757771686e-05,5.987846088828519e-05,6.030779695720412e-05,6.068710354156792e-05,6.106498767621815e-05,6.140711775515229e-05,6.176425085868686e-05,6.210639548953623e-05,6.243641837500036e-05,6.269834557315335e-05,6.297357322182506e-05,6.324606511043385e-05,6.351514457492158e-05,6.345947622321546e-05,6.382488936651498e-05,6.405926978914067e-05
Waly_100000_pointcloud,Mask_pen_Prune,1.868146455308306e-06,3.898898285115138e-06,6.1623968576896004e-06,8.020189852686599e-06,2.9448636269080453e-05,3.385394302313216e-05,3.872172237606719e-05,4.501870716921985e-05,5.158097337698564e-05,5.272142880130559e-05,5.348058039089665e-05,5.417330612544902e-05,5.471015174407512e-05,5.52148230781313e-05,5.5665444961050525e-05,5.609315849142149e-05,5.6442229833919555e-05,5.6788339861668646e-05,5.7150013162754476e-05,5.745630551245995e-05,5.776948819402605e-05,5.809134017908946e-05,5.84109548071865e-05,5.8698980865301564e-05,5.897717710467987e-05,5.925518780713901e-05,5.950551349087618e-05,5.937594687566161e-05,5.977226101094857e-05,5.98978585912846e-05
Bicycle_100000_colored_pointcloud,Mask_sds_Prune,1.6664071154082194e-06,3.163784185744589e-06,4.649390120903263e-06,6.027913514117245e-06,9.246504305338021e-06,1.1385920515749604e-05,1.4301147530204616e-05,1.76067442225758e-05,2.1317195205483586e-05,2.237093030998949e-05,2.3105731088435277e-05,2.365321597608272e-05,2.416987990727648e-05,2.4682190996827558e-05,2.5089308110182174e-05,2.5476912924204953e-05,2.5890331016853452e-05,2.6270356102031656e-05,2.6636564143700525e-05,2.7021378627978265e-05,2.737895556492731e-05,2.778250927804038e-05,2.8146198019385338e-05,2.8550402930704877e-05,2.892740667448379e-05,2.9295459171407856e-05,2.9632063160534017e-05,2.875535938073881e-05,2.9346059818635695e-05,2.9398881451925263e-05
Bicycle_100000_pointcloud,Mask_sds_Prune,1.8539265056460863e-06,3.510953320073895e-06,5.1394940783211496e-06,6.561651389347389e-06,9.95228037936613e-06,1.2035517102049198e-05,1.4725772416568361e-05,1.7897993529913947e-05,2.1298050342011265e-05,2.2339236238622107e-05,2.3079988750396296e-05,2.366885746596381e-05,2.417034556856379e-05,2.455106732668355e-05,2.4960367227322422e-05,2.5337607439723797e-05,2.566033617767971e-05,2.5988354536821134e-05,2.6308593078283593e-05,2.6624169549904764e-05,2.6927446015179157e-05,2.723596480791457e-05,2.7569974918151274e-05,2.7897822292288765e-05,2.819005021592602e-05,2.8485292205004953e-05,2.8813759854529053e-05,2.756504363787826e-05,2.8079342882847413e-05,2.792397208395414e-05
